cliente;posto;estado;uf;pais;lote;porte;polo_tecnico;chamados_hardware;qtde_kit;total_coletas;mesas;latitude;longitude
PPT;SANTA CRUZ DO RIO PARDO;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;AVARE;9;1;6708;1;-2.229.060.715;-4.996.277.378
PPT;SANTA FE DO SUL;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;JALES;2;1;6112;1;-2.002.106.188;-5.009.270.837
PPT;SANTA GERTRUDES;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;MOGI GUAÇU;6;1;2895;1;-2.224.590.897;-4.775.320.340
PPT;SANTA ISABEL;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;FERRAZ;5;1;7239;1;-2.333.194.222;-4.662.271.903
PPT;SANTA RITA DO PASSA QUATRO;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;SANTA RITA DO PASSA QUATRO;1;1;3428;1;-2.117.103.738;-4.774.777.943
PPT;SANTA ROSA DE VITERBO;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;SANTA RITA DO PASSA QUATRO;1;1;6387;1;-2.114.869.452;-4.773.654.908
PPT;SANTANA DE PARNAIBA;SÃO PAULO;SP;BRASIL;REGIÃO 6;B;COTIA;1;2;19032;2;-2.337.025.034;-4.667.139.208
PPT;SANTANA DIGITAL;SÃO PAULO;SP;BRASIL;REGIÃO 5;DIGITAL;FERRAZ;0;1;2684;1;-2.335.025.905;-4.666.273.234
PPT;SANTO AMARO;SÃO PAULO;SP;BRASIL;REGIÃO 6;A;RESIDENTE;76;26;260338;23;-2.336.424.673;-4.666.998.932
PPT;SANTO ANASTACIO;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;PIRAPOZINHO;5;1;2795;1;-2.119.746.620;-5.116.526.620
PPT;SANTO ANDRE;SÃO PAULO;SP;BRASIL;REGIÃO 7;A;RESIDENTE;37;12;86151;12;-2.336.533.509;-4.665.279.039
PPT;SANTO ANTONIO DE POSSE;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;BRAGANÇA;5;1;3166;1;-2.226.053.304;-4.669.197.291
PPT;SANTOS;SÃO PAULO;SP;BRASIL;REGIÃO 4;A;RESIDENTE;35;6;53333;6;-2.339.335.988;-4.663.286.399
PPT;SAO BERNARDO DO CAMPO;SÃO PAULO;SP;BRASIL;REGIÃO 7;A;RESIDENTE;37;11;118241;11;-2.337.080.345;-4.665.506.747
PPT;SAO CARLOS;SÃO PAULO;SP;BRASIL;REGIÃO 1;B;JAU;5;4;31969;4;-2.118.788.022;-4.778.567.619
PPT;SAO JOAO DA BOA VISTA;SÃO PAULO;SP;BRASIL;REGIÃO 3;B;AGUAI;5;2;11312;2;-2.119.687.099;-4.667.969.216
PPT;SAO JOAQUIM DA BARRA;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;GUARA;3;1;5783;1;-2.005.814.993;-4.778.608.238
PPT;SAO JOSE DO RIO PARDO;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;AGUAI;2;2;9575;2;-2.115.952.880;-4.668.873.030
PPT;SAO JOSE DO RIO PRETO;SÃO PAULO;SP;BRASIL;REGIÃO 1;A;RESIDENTE;26;7;54153;7;-2.008.125.851;-4.993.804.212
PPT;SAO JOSE DOS CAMPOS;SÃO PAULO;SP;BRASIL;REGIÃO 4;A;RESIDENTE;34;15;91286;15;-2.331.867.782;-4.558.854.538
PPT;SAO MANUEL;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;AVARE;1;1;5372;1;-2.227.320.810;-4.885.723.160
PPT;SAO MIGUEL ARCANJO;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;ITAPEVA;2;1;4767;1;-2.338.807.771;-4.779.963.492
PPT;SAO PEDRO;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;JAU;4;1;6231;1;-2.225.512.765;-4.779.072.359
PPT;SAO ROQUE;SÃO PAULO;SP;BRASIL;REGIÃO 5;C;VOTORANTIM;1;2;12162;2;-2.335.304.843;-4.771.355.473
PPT;SAO VICENTE;SÃO PAULO;SP;BRASIL;REGIÃO 4;B;CUBATAO;4;4;40234;4;-2.339.664.177;-4.663.861.401
PPT;SE;SÃO PAULO;SP;BRASIL;REGIÃO 7;A;RESIDENTE;64;23;165795;23;-2.335.488.069;-4.666.317.734
PPT;SERRA NEGRA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;BRAGANÇA;4;1;5600;1;-2.226.126.459;-4.666.999.860
PPT;SERRANA;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;SANTA RITA DO PASSA QUATRO;5;1;5509;1;-2.112.066.883;-4.776.053.774
PPT;SERTAOZINHO;SÃO PAULO;SP;BRASIL;REGIÃO 1;B;GUARA;11;3;20576;3;-2.111.375.782;-4.779.913.741
PPT;SOCORRO;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;BRAGANÇA;3;1;4902;1;-2.225.902.619;-4.665.249.112
PPT;SOROCABA;SÃO PAULO;SP;BRASIL;REGIÃO 4;A;RESIDENTE;28;12;86943;16;-2.334.684.836;-4.774.424.129
PPT;SUMARE;SÃO PAULO;SP;BRASIL;REGIÃO 3;B;SANTA BARBARA;7;3;21996;3;-2.228.217.964;-4.772.671.050
PPT;SUZANO;SÃO PAULO;SP;BRASIL;REGIÃO 7;A;RESIDENTE;12;6;51420;5;-2.335.427.842;-4.663.108.391
PPT;TABATINGA;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;MATAO;6;1;2315;2;-2.117.373.768;-4.886.880.522
PPT;TABOAO DA SERRA;SÃO PAULO;SP;BRASIL;REGIÃO 6;A;RESIDENTE;21;8;65602;7;-2.336.121.912;-4.667.790.539
PPT;TAMBAU;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;AGUAI;4;1;1996;1;-2.117.029.200;-4.772.703.440
